AIZ,Itzehoe,Itzehoe,,
AIZE,Itzehoe Graf-Egbert-Ring,IZ Graf-Egbert,,
AIZQ,Itzehoe Bedienstandort,Itzehoe BSO,,
AIZX,Itzehoe ESTW-Z,Itzehoe ESTW,,
AJ,Jübek,Jübek,,
AJF,Jesteburg,Jesteburg,,
AJHH,Jarrenwisch,Jarrenwisch,,
AJUS,Hamburg Jungfernstieg,Jungfernstieg,,
AJW,Jübek West,Jübek West,,
AK,Kiel Hbf,Kiel Hbf,,
AK K,Kiel Hbf Kaistraße,Kiel Hbf Kaistr,,
AK O,Kiel Hbf (Ko),Kiel Hbf (Ko),,
AK Z,Kiel Hbf ZOB,Kiel Hbf ZOB,,
AKAD,Katharinenheerd,Katharinenheerd,,
AKADA,Katharinenheerd Abzw. Bahnhof,Katharinenh Abzw,,
AKAR,Karwitz (Kr Dannenberg),Karwitz/Kr Danbg,,
AKC,Klecken,Klecken,,
AKD,Kleinkummerfeld,Kleinkummerfeld,,
AKE,Kiel-Elmschenhagen,Kiel-Elmschenhgn,,
AKEL,Kiel-Ellerbek,Kiel-Ellerbek,,
AKEW,Kiel-Wellsee,Kiel-Wellsee,,
AKFX,Kiel - Flensburg ESTW-R Bedienplatz,Kiel - Fl ESTW,,
AKGA,Kiel-Gaarden,Kiel-Gaarden,,
AKGB,Kiel-Gaarden Bk,K-Gaarden Bk,,
AKGG,Kiel-Gaarden BZ-Grenze,K-Gaarden BZ-Gr,,
AKH,Kiel-Hassee Cittipark,K-Hassee Cittip,,
AKH A,Kiel-Hassee Altenrade,Kiel-H Altenrade,,
AKH S,Kiel-Hassee Stadtrade,Kiel-H Stadtrade,,
AKHB,Karlshöfen (Bz Bremen),Karlshöfen/Brm,,
AKHD,Kremperheide,Kremperheide,,
AKHG,Kiel Hgbf,Kiel Hgbf,,
AKHW,Kiel Howaldtswerke,Kiel How.-werke,,
AKI,Keitum,Keitum,,
AKI B,Keitum Bahnhof,Keitum Bf,,
AKIM,Keitum Schnittis Eck,Keitum Schnitt E,,
AKIMK,Keitum Kirche,Keitum Kirche,,
AKIMO,Keitum Ost,Keitum Ost,,
AKIMW,Keitum Parkplatz West,Keitum Ppl West,,
AKLT,Klötzin,Klötzin,,
AKLX,Kiel ESTW-UZ,Kiel ESTW,,
AKM,Krempe,Krempe,,
AKMA,Kiel Marinearsenal,Kiel M.-arsenal,,
AKML,Kuhmühlen,Kuhmühlen,,
AKNG,Kiel Seehafen/AKN Grenze,Kiel Sh/AKN Gr,,
AKNH,Kiel Nordhafen,Kiel Nordhafen,,
AKNK,Kiel Norwegenkai KV,Kiel Norwegenkai,,
AKNKO,Kiel Norwegenkai (Ostufer),Kiel Norwkai Ost,,
AKOH,Kiel Ostuferhafen,Kiel Ostuferhf,,
